Student,Q1_e2,Q2_e2,Q3_e2,Q4_e2,Q5_e2,Q6_e2,Q7_e2,Q8_e2,Q9_e2,Q10_e2
Student_1_b,1,1,1,1,1,1,1,1,1,0
Student_2_b,1,1,1,1,1,1,1,1,1,1
Student_3_b,1,1,0,1,1,1,1,0,1,1
Student_4_b,1,1,1,1,1,1,1,1,1,1
Student_5_b,1,1,1,0,1,1,1,1,1,1
Student_6_b,1,1,1,1,1,1,1,1,1,0
Student_7_b,1,1,1,0,1,0,1,1,1,1
Student_8_b,1,1,1,0,1,0,1,1,1,0
Student_9_b,0,1,0,1,1,1,1,1,0,1
Student_10_b,1,1,1,1,0,1,1,1,1,1
Student_11_b,1,1,1,1,1,1,0,1,1,0
Student_12_b,0,1,0,0,1,1,0,1,0,1
Student_13_b,1,1,1,0,1,1,1,1,1,1
Student_14_b,0,1,0,1,1,0,1,0,0,0
Student_15_b,1,0,1,1,1,1,1,1,1,0
Student_16_b,1,0,1,1,1,1,1,1,1,1
Student_17_b,1,1,1,1,1,1,1,1,0,1
Student_18_b,1,1,1,0,1,1,1,1,1,1
Student_19_b,1,1,1,1,1,0,1,1,0,1
Student_20_b,1,1,1,1,1,1,1,1,1,1
Student_21_b,1,1,1,1,1,1,1,1,1,1
Student_22_b,1,0,1,1,1,1,0,1,1,1
Student_23_b,1,1,1,1,1,1,1,1,1,1
Student_24_b,1,1,0,1,1,1,1,1,1,1
Student_25_b,0,1,1,0,1,0,0,0,1,0
Student_26_b,1,1,0,1,1,1,1,1,1,1
Student_27_b,0,1,1,1,1,1,1,0,0,0
Student_28_b,1,1,1,1,1,1,1,1,1,1
Student_29_b,1,1,1,1,1,1,1,1,1,1
Student_30_b,1,1,1,1,1,1,1,0,1,1
