Student,e1,e2
Student_1_b,0.9,0.9
Student_2_b,0.4,1
Student_3_b,0.7,0.8
Student_4_b,0.7,1
Student_5_b,0.9,0.9
Student_6_b,0.4,0.9
Student_7_b,0.8,0.8
Student_8_b,0.6,0.7
Student_9_b,0.8,0.7
Student_10_b,0.6,0.9
Student_11_b,0.4,0.8
Student_12_b,0.5,0.5
Student_13_b,1,0.9
Student_14_b,0.9,0.4
Student_15_b,0.7,0.8
Student_16_b,0.1,0.9
Student_17_b,0.7,0.9
Student_18_b,1,0.9
Student_19_b,1,0.8
Student_20_b,0.8,1
Student_21_b,0.7,1
Student_22_b,0.5,0.8
Student_23_b,0.5,1
Student_24_b,0.8,0.9
Student_25_b,1,0.4
Student_26_b,0.9,0.9
Student_27_b,0.7,0.6
Student_28_b,0.5,1
Student_29_b,0.7,1
Student_30_b,1,0.9
