Student,e1,e2
Student_1_a,0.8,0.9
Student_2_a,0.5,0.8
Student_3_a,0.6,1.0
Student_4_a,0.7,1.0
Student_5_a,0.2,0.9
Student_6_a,0.7,0.9
Student_7_a,0.5,0.9
Student_8_a,0.4,0.8
Student_9_a,0.5,0.9
Student_10_a,0.6,0.4
Student_11_a,0.7,0.9
Student_12_a,1.0,0.9
Student_13_a,0.4,1.0
Student_14_a,0.8,0.5
Student_15_a,0.7,0.9
Student_16_a,0.4,1.0
Student_17_a,0.0,0.9
Student_18_a,0.7,0.9
Student_19_a,0.6,1.0
Student_20_a,0.6,1.0
Student_21_a,0.8,1.0
Student_22_a,0.7,0.9
Student_23_a,0.7,0.6
Student_24_a,0.7,0.5
Student_25_a,0.7,0.6
Student_26_a,0.1,0.9
Student_27_a,0.6,0.8
Student_28_a,0.6,0.7
Student_29_a,0.6,1.0
Student_30_a,1.0,0.9
Student_31_a,0.8,0.9
Student_32_a,0.8,0.9
Student_33_a,0.4,1.0
Student_34_a,0.7,1.0
Student_1_b,0.9,0.9
Student_2_b,0.4,1.0
Student_3_b,0.7,0.8
Student_4_b,0.7,1.0
Student_5_b,0.9,0.9
Student_6_b,0.4,0.9
Student_7_b,0.8,0.8
Student_8_b,0.6,0.7
Student_9_b,0.8,0.7
Student_10_b,0.6,0.9
Student_11_b,0.4,0.8
Student_12_b,0.5,0.5
Student_13_b,1.0,0.9
Student_14_b,0.9,0.4
Student_15_b,0.7,0.8
Student_16_b,0.1,0.9
Student_17_b,0.7,0.9
Student_18_b,1.0,0.9
Student_19_b,1.0,0.8
Student_20_b,0.8,1.0
Student_21_b,0.7,1.0
Student_22_b,0.5,0.8
Student_23_b,0.5,1.0
Student_24_b,0.8,0.9
Student_25_b,1.0,0.4
Student_26_b,0.9,0.9
Student_27_b,0.7,0.6
Student_28_b,0.5,1.0
Student_29_b,0.7,1.0
Student_30_b,1.0,0.9
